N,P,K,temperature,humidity,ph,rainfall,label
74.98,35.79,44.63,20.36,81.03,7.26,200.27,rice
98.03,50.91,36.26,23.72,89.03,6.96,213.43,rice
89.28,42.86,37.42,23.78,85.05,6.56,201.24,rice
83.95,47.71,48.48,24.46,88.26,7.46,190.64,rice
66.24,57.69,44.1,25.08,83.2,7.23,194.48,rice
66.24,41.23,35.14,26.83,88.96,6.29,235.29,rice
62.32,45.26,36.52,23.61,83.89,7.64,204.76,rice
94.65,53.89,44.95,22.26,80.11,7.48,223.71,rice
84.04,40.72,35.08,25.57,89.05,7.71,240.41,rice
88.32,36.92,37.41,21.9,80.91,7.31,262.85,rice
60.82,42.24,43.23,23.07,83.19,7.1,184.72,rice
98.8,39.03,45.38,20.55,89.5,6.75,275.93,rice
93.3,58.24,44.78,20.18,89.51,7.68,255.35,rice
68.49,55.2,38.36,26.74,85.73,7.56,189.81,rice
67.27,50.84,45.68,25.85,86.32,6.08,284.83,rice
67.34,56.79,38.56,24.87,84.48,6.05,290.5,rice
72.17,55.09,39.88,22.86,82.93,6.68,187.33,rice
80.99,39.66,46.2,21.21,83.29,7.46,213.23,rice
77.28,57.31,44.74,21.1,86.73,7.78,276.74,rice
71.65,48.48,47.74,21.75,87.52,6.27,269.79,rice
84.47,55.19,44.86,23.84,87.92,7.07,202.14,rice
65.58,57.4,43.52,25.0,87.9,6.69,205.12,rice
71.69,42.95,36.41,24.62,80.91,7.75,224.46,rice
74.65,37.75,40.52,21.96,84.94,7.52,238.14,rice
78.24,40.7,38.98,26.68,80.58,7.51,254.19,rice
91.41,45.68,38.66,25.17,85.5,6.84,224.27,rice
67.99,55.45,49.6,23.88,84.42,6.75,235.5,rice
80.57,56.52,40.9,24.28,88.88,6.49,269.7,rice
83.7,35.17,48.38,22.94,83.51,6.1,184.4,rice
61.86,47.77,44.47,21.73,81.17,7.56,210.29,rice
84.3,45.44,46.92,22.49,81.43,7.46,265.6,rice
66.82,40.55,42.54,25.3,87.62,7.8,287.42,rice
62.6,38.0,43.65,20.1,86.18,7.79,241.4,rice
97.96,43.44,42.39,20.81,81.01,7.0,243.85,rice
98.63,58.57,37.93,20.32,80.84,7.38,192.86,rice
92.34,43.08,45.84,20.29,87.01,7.7,233.69,rice
72.18,47.97,39.21,25.99,80.73,7.53,243.91,rice
63.91,52.58,35.36,24.93,88.22,6.45,209.1,rice
87.37,44.09,44.68,23.32,87.06,6.81,212.31,rice
77.61,59.29,37.66,20.68,80.81,6.23,225.27,rice
64.88,59.06,49.11,23.44,80.85,7.72,182.41,rice
79.81,41.29,49.31,23.31,89.87,7.09,218.65,rice
61.38,47.43,48.72,21.21,83.74,6.41,205.37,rice
96.37,42.52,40.55,23.04,83.71,7.21,219.3,rice
70.35,42.12,35.23,22.79,88.13,7.11,194.37,rice
86.5,35.92,48.92,24.31,89.47,6.64,286.86,rice
72.47,50.24,41.42,24.45,89.86,6.2,251.23,rice
80.8,47.57,49.5,20.32,87.53,7.21,261.49,rice
81.87,36.29,49.45,22.62,83.76,6.94,274.7,rice
67.39,41.97,47.8,24.38,80.84,7.39,239.81,rice
98.78,57.71,39.42,23.52,87.77,6.94,190.43,rice
91.01,40.99,40.78,26.0,85.58,7.53,244.45,rice
97.58,38.62,47.77,24.61,84.24,6.99,250.42,rice
95.79,47.24,39.75,21.14,89.06,7.01,269.45,rice
83.92,59.64,37.54,20.49,81.11,7.58,231.8,rice
96.87,41.05,43.35,24.5,84.93,6.73,195.31,rice
63.54,51.8,49.04,20.19,80.11,6.24,214.05,rice
67.84,54.04,45.44,24.1,84.69,6.05,223.57,rice
61.81,40.94,43.55,26.58,80.56,7.36,257.51,rice
73.01,53.21,36.46,24.03,81.19,7.12,248.49,rice
75.55,44.19,44.23,22.72,81.18,7.27,222.73,rice
70.85,50.81,49.85,24.5,86.49,6.38,298.38,rice
93.15,50.84,37.1,23.21,87.46,6.25,252.69,rice
74.27,48.39,42.77,23.82,85.83,6.03,208.47,rice
71.24,37.26,48.16,26.59,89.62,6.63,192.21,rice
81.71,55.88,46.11,22.7,83.75,7.06,198.34,rice
65.64,43.02,45.46,26.73,82.86,6.71,209.51,rice
92.09,39.66,45.54,26.34,88.69,6.79,199.28,rice
62.98,36.02,40.39,21.37,82.24,7.63,202.39,rice
99.48,49.77,39.4,20.49,89.63,6.63,214.21,rice
90.89,51.94,47.14,20.71,80.12,6.93,200.8,rice
67.95,35.41,47.15,20.13,89.7,7.41,287.61,rice
60.22,47.8,48.01,20.66,80.43,6.71,189.63,rice
92.62,40.66,48.7,24.78,88.91,7.12,242.94,rice
88.27,51.13,42.67,20.5,85.28,7.55,229.25,rice
89.16,39.36,42.52,22.23,89.93,7.71,297.89,rice
90.85,52.27,46.97,25.91,80.74,6.26,193.44,rice
62.96,44.67,44.75,20.16,85.54,7.67,227.74,rice
74.34,58.42,45.53,25.7,89.69,6.89,296.34,rice
64.63,38.44,46.94,21.97,85.23,6.46,283.86,rice
94.52,43.53,48.35,20.83,86.29,6.83,278.05,rice
84.93,37.84,40.07,24.88,86.96,7.76,210.95,rice
73.24,58.12,40.63,24.4,84.55,6.89,200.51,rice
62.54,56.93,36.41,26.14,86.28,6.59,260.24,rice
72.44,41.45,43.67,25.15,85.84,7.14,291.53,rice
73.01,51.5,35.54,25.62,89.01,6.43,246.81,rice
89.18,55.43,41.98,21.97,80.45,6.14,248.59,rice
85.5,48.88,43.14,21.24,82.81,6.23,213.6,rice
95.49,48.24,39.3,25.25,89.5,6.23,272.34,rice
78.89,41.05,43.86,25.65,88.9,6.27,202.45,rice
64.78,37.33,35.46,26.93,84.56,6.25,218.84,rice
88.53,57.43,35.56,22.89,86.2,7.15,231.05,rice
90.43,57.51,47.34,22.6,82.77,6.33,240.91,rice
82.45,50.83,40.4,25.43,81.88,6.62,209.09,rice
90.84,43.48,36.91,22.39,84.64,7.61,193.78,rice
79.75,43.73,42.83,26.52,83.53,6.85,253.27,rice
80.91,53.15,46.55,26.01,85.84,7.2,214.64,rice
77.1,57.43,38.24,23.0,80.78,6.31,249.75,rice
61.02,57.18,44.34,25.26,89.74,6.35,198.52,rice
64.32,54.5,36.28,25.28,89.86,6.07,237.74,rice
81.3,52.68,17.08,19.67,56.16,6.64,61.58,maize
62.07,38.81,15.27,22.88,74.38,5.54,106.81,maize
73.46,49.41,16.81,25.86,72.68,5.53,62.6,maize
65.38,50.17,20.83,24.59,73.56,5.99,87.06,maize
62.53,45.6,19.21,25.26,74.9,6.23,95.45,maize
99.6,53.41,23.93,23.93,58.48,6.66,103.55,maize
72.89,58.36,23.17,24.23,62.92,6.52,95.7,maize
92.39,58.14,18.42,25.64,70.16,6.17,100.09,maize
70.19,46.27,17.59,20.25,68.92,5.91,76.97,maize
87.26,37.83,18.8,22.4,58.08,7.0,100.74,maize
90.41,59.62,20.9,19.99,71.32,6.14,64.01,maize
83.83,55.97,17.68,26.89,59.49,6.18,104.74,maize
78.86,38.12,21.24,26.5,59.48,5.75,87.38,maize
76.47,58.02,19.09,18.35,65.74,6.69,100.86,maize
73.95,56.75,20.52,24.35,66.86,6.54,82.62,maize
97.18,47.97,19.36,26.33,66.6,5.83,92.18,maize
93.22,49.78,17.94,19.63,56.83,5.62,86.32,maize
98.6,44.98,24.48,23.11,72.55,6.52,96.58,maize
64.97,36.37,22.64,26.24,60.31,6.48,64.08,maize
89.23,43.38,16.4,18.31,57.59,5.91,63.02,maize
97.53,55.07,23.68,24.28,72.77,6.93,72.36,maize
67.25,35.12,19.87,20.68,74.11,5.73,67.98,maize
62.66,43.34,23.95,26.32,72.24,6.15,103.59,maize
89.64,44.95,23.0,26.74,71.19,6.92,70.96,maize
82.98,48.43,19.25,26.5,68.1,6.13,108.79,maize
93.67,58.0,15.22,22.27,66.02,6.46,76.84,maize
65.59,43.66,17.69,25.76,56.74,6.1,69.11,maize
91.81,43.67,20.42,25.6,63.17,5.91,99.48,maize
68.07,53.44,21.33,20.87,62.45,6.98,92.94,maize
66.55,46.31,17.58,25.46,60.2,6.11,84.91,maize
66.57,40.62,16.39,18.33,69.47,6.84,87.77,maize
92.58,46.31,23.35,23.37,64.92,5.84,95.96,maize
86.61,38.52,24.84,20.07,56.62,5.82,71.42,maize
80.92,39.41,20.26,19.09,59.4,5.55,109.82,maize
74.35,47.46,16.72,18.69,68.67,6.48,108.74,maize
95.09,45.47,17.72,24.27,56.52,6.05,92.52,maize
75.7,57.87,15.18,21.06,72.02,6.8,69.98,maize
92.66,44.06,24.14,24.52,64.9,6.21,94.01,maize
77.57,49.51,16.18,18.59,64.61,6.95,63.61,maize
75.08,50.81,20.77,20.84,66.85,5.78,61.53,maize
78.51,35.33,17.74,22.86,71.49,6.8,72.88,maize
72.06,51.59,20.54,25.12,61.96,6.66,83.13,maize
89.9,39.45,21.51,20.87,68.56,6.66,103.41,maize
80.11,59.03,23.3,23.63,66.31,6.77,96.36,maize
69.29,38.72,17.06,25.97,60.34,6.64,97.14,maize
95.98,45.37,15.11,23.54,72.57,6.44,81.27,maize
75.36,37.13,16.37,20.1,70.95,5.7,77.3,maize
81.74,59.92,24.0,18.22,68.17,5.55,78.55,maize
96.26,47.55,23.74,25.83,72.01,6.88,109.38,maize
84.97,49.88,20.97,18.19,72.35,6.42,62.01,maize
